###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
327a   0  0  8  7 10 11  8  7  8 10    9  8  8  7  7  6  7  8  8  6    8  5  9  7  6  9  7  7  8  7    8  8  8  9  6  7  7  8  7  8   
327b   6  8  8  7  6 10  8  6  5  6    7  7  8  8  7  8  9  7  7 13    9  7  8  7  9  7  7  7  8  7    7  8  8  9  6  9  0  0  0  0   
328a   0  0  6  8  7  8  9 11  8 10    8  8  8  7  7  9  7  8  8  8    6  6  7  8  9 10  7  7  8  7    7  7  8  7  7  7  9  8  8  9   
328b   7  7  8  9  7  7  5  7  6  7    6  8  7  9  7  6  7 10  8 10    6  7  7  9  8  8 10  6  7  7   10  6  9  9  8  8  0  0  0  0   
329a   0  0  9  9 10 10  6  9  7  6    8 10  8  8  7  9  7  8  7 12    7  7  7  6 10  8  8  7  7  8    8  6  7  6  6  7  6  8  6  7   
329b   8  8  8  8  8  8  7  7  6  6    7  8  9  9  8  9  8  6  7  8    7  9  8  9  9  7  7  7  6  7    8  6  9 11  7  7  0  0  0  0   
330a   0  0  8  8  8  7  8  8  9 10    8  7  7  6  8  8  7 10  6  8    9  8  5  9 10  5  8  9  9  8    6  7  8  9  7  7  8  8 10  6   
330b   7  8  8  7 10 10  9  9  9  9    8  9  7  8  8  7  8  6  8  7    8  8  7  9 12  8  7  8  8  9    7  8  6 11  9  7  0  0  0  0   
331a   0  0 11  7  7  8  7  6 10  9    8  7  8  7  6  9 10  7  7  8    8  7  6  7  9  8  8  7  8  6    7  7  7  7  8  9  8  8  8  7   
331b   7  7  8  9  5  8  8  8  6  6    9 10  7  7  7  5 10  7  9  9    9  9  9  9  7  9  7  7  6  8    7  8  8  7 10  8  0  0  0  0   
332a   0  0  7  9  7 10  9  8 10 10    8  6  9 10  7  6  7  8  7  6    7  9  7  7  8  8  8  9  7  7    7  6  7  7  8  5  8  8  8  6   
332b   7 10  8  6  6  8  8  8  8  7    8  8  8  7  7  7  9  9  9 11    8  7  8  8 10  7  9  8  8  8    8  9  8  7 10  8  0  0  0  0   
333a   0  0  8  8  8  8  7  8  8  9    7  8  9  9  7  7  6  8  9  7    7  8  9  6  7  8  6  7  8  8    6  7  8  9  7  7  6  6  8  7   
333b   6  8  8  7  6  7  7  9  7  8    7  7  7  9  9  6 10  7  8  7    8  7  6  7  9 10  7  7  9  8   11  9  7  8  8  8  0  0  0  0   
334a   0  0 11 10  7  9  8  7  7  8    7  8 10  6  6  9  7  9  7  6    8  7  7  8  7  8 10  8  9 11    9  7  9  7  7  7  7  7  7  9   
334b   7  9  9  7  6  8  8  7  9  7    8  6  7  6  7  8  9 10  9  7    9  8  6 13  7  8 10 10  6 10    8  9 10 10  6  5  0  0  0  0   
335a   0  0  9  7  8  9  8  8  7  7    7  9  9 10  7  7  8  9  8  8    7  9  6  9  5  8  7  8  6  7    8  6  8  7  8  9  8  8  7  8   
335b   6  5  6 10  7  9  6  7  7  8    6  6  6  6  8 10 11  7  9  9    8  7  9  8  8  8 10  8 10  6    7  8 12 10 10  7  0  0  0  0   
336a   0  0  9  6  7  9  8  7  6  7    6  8  8  9  8  9  9  8  8  7   10  9  9  8  7 10  9  7  7  9    7  7 11 10  8 10  7  7  8  7   
336b   9  6  7  9  8  7 11  7  7  8    8  6  8  8  7  6  8  9  7  9    7 11  8  7  8  9  8  6  9  8    8  8  9  9  7  7  0  0  0  0   
